training_scope,test_season,model,leagues,matches,log_loss,brier_score,accuracy,closing_market_log_loss,log_loss_vs_closing_market,log_loss_relative_to_closing_market,market_comparison
pooled,2022-23,closing_market,5,1335,0.9164382357045956,0.5383055161022313,0.585615991660674,0.9164382357045956,0.0,0.0,baseline
pooled,2022-23,market_plus_player_form,5,1335,0.9133502942457205,0.5362447228675441,0.580049496998676,0.9164382357045956,-0.0030879414588753,-0.0033695030811336,outperforms_market
pooled,2022-23,recalibrated_market,5,1335,0.9150548948448896,0.5372179049376662,0.577801664175294,0.9164382357045956,-0.0013833408597061,-0.0015094752770137,outperforms_market
pooled,2023-24,closing_market,5,1233,0.9162700704241526,0.5383593002495397,0.5780102560555757,0.9162700704241526,0.0,0.0,baseline
pooled,2023-24,market_plus_player_form,5,1233,0.90841677705419,0.5340876542990276,0.5774548367582902,0.9162700704241526,-0.0078532933699626,-0.008570937350739,outperforms_market
pooled,2023-24,recalibrated_market,5,1233,0.9106584247227564,0.5352626999267442,0.5812114494555588,0.9162700704241526,-0.0056116457013963,-0.0061244450545008,outperforms_market
pooled,2024-25,closing_market,5,1327,0.9407419679323846,0.5553232930750701,0.5709168307465724,0.9407419679323846,0.0,0.0,baseline
pooled,2024-25,market_plus_player_form,5,1327,0.9423062754242152,0.5560352798154066,0.5702366678227287,0.9407419679323846,0.0015643074918304,0.0016628443772616,within_1_percent
pooled,2024-25,recalibrated_market,5,1327,0.9403261907821464,0.5545626459510112,0.5721725932789539,0.9407419679323846,-0.0004157771502383,-0.0004419672603234,outperforms_market
pooled,2022-23,deliberate_hindsight_model,5,1335,0.8764687316043286,0.5110711826522971,0.6098301987530619,0.9164382357045957,-0.03996950410026712,-0.043613963869083776,outperforms_market
pooled,2022-23,shuffled_player_features,5,1335,0.9142327985336994,0.5367471579005457,0.5775880133213239,0.9164382357045957,-0.002205437170896274,-0.002406531160499477,outperforms_market
pooled,2022-23,without_attacking_output,5,1335,0.914761251320954,0.5371721242354912,0.5828977478345984,0.9164382357045957,-0.001676984383641722,-0.0018298935141574345,outperforms_market
pooled,2022-23,without_defensive_output,5,1335,0.9133533491418634,0.5361445678804091,0.5794477595021066,0.9164382357045957,-0.003084886562732314,-0.003366169636473674,outperforms_market
pooled,2022-23,without_player_ratings,5,1335,0.9129907091432912,0.5360612397348463,0.5807439414431204,0.9164382357045957,-0.003447526561304537,-0.003761875516525056,outperforms_market
pooled,2022-23,without_team_strength_context,5,1335,0.9141647194282108,0.5366590652238526,0.5781310643719508,0.9164382357045957,-0.002273516276384946,-0.002480817787613338,outperforms_market
pooled,2023-24,deliberate_hindsight_model,5,1233,0.864421149645937,0.5075910928336599,0.5936774221400203,0.9162700704241526,-0.05184892077821568,-0.05658694139623504,outperforms_market
pooled,2023-24,shuffled_player_features,5,1233,0.9112000960321428,0.5357797862619582,0.5739660434422216,0.9162700704241526,-0.005069974392009846,-0.005533275128874277,outperforms_market
pooled,2023-24,without_attacking_output,5,1233,0.909064028485707,0.5347962712988036,0.5855258034022657,0.9162700704241526,-0.007206041938445651,-0.007864539256542435,outperforms_market
pooled,2023-24,without_defensive_output,5,1233,0.9084340433649623,0.533995321722942,0.5793268585418163,0.9162700704241526,-0.007836027059190398,-0.008552093222430593,outperforms_market
pooled,2023-24,without_player_ratings,5,1233,0.9081065950319147,0.5339783318254866,0.5774548367582902,0.9162700704241526,-0.00816347539223794,-0.00890946420246922,outperforms_market
pooled,2023-24,without_team_strength_context,5,1233,0.9095987179866295,0.534478526000559,0.5758484328168763,0.9162700704241526,-0.006671352437523148,-0.0072809891459566034,outperforms_market
pooled,2024-25,deliberate_hindsight_model,5,1327,0.9209036486068378,0.5444003810259184,0.5817441117006243,0.9407419679323846,-0.019838319325546805,-0.02108794972669134,outperforms_market
pooled,2024-25,shuffled_player_features,5,1327,0.9415320293549148,0.5550663592114662,0.5746814425941993,0.9407419679323846,0.0007900614225301306,0.000839827975642005,within_1_percent
pooled,2024-25,without_attacking_output,5,1327,0.9395550294897215,0.5542202714135536,0.5715311662046058,0.9407419679323846,-0.0011869384426631546,-0.0012617045726915686,outperforms_market
pooled,2024-25,without_defensive_output,5,1327,0.9438969632799991,0.5569396822126976,0.5679073575559183,0.9407419679323846,0.003154995347614431,0.003353730837105797,within_1_percent
pooled,2024-25,without_player_ratings,5,1327,0.9421971170063307,0.5559640061711334,0.5735914583006545,0.9407419679323846,0.0014551490739460604,0.001546809989931956,within_1_percent
pooled,2024-25,without_team_strength_context,5,1327,0.9419002315673801,0.555783756155623,0.5687342803969012,0.9407419679323846,0.0011582636349954933,0.0012312235176891173,within_1_percent
